,Adrian,Alonso,Antonio,Ariel,Boatswain,Caliban,Ferdinand,Francisco,Gonzalo,Miranda,Prospero,SAILORS,SPIRITS,SPIRITS.Ceres,SPIRITS.Iris,SPIRITS.Juno,SPIRITS.NYMPHS,SPIRITS.REAPERS,Sebastian,Shipmaster,Stephano,Trinculo
Adrian,0.0,813.0,816.0,250.0,120.0,48.0,180.0,823.0,823.0,180.0,404.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,816.0,120.0,48.0,48.0
Alonso,813.0,0.0,839.0,250.0,140.0,48.0,206.0,813.0,839.0,180.0,404.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,839.0,120.0,48.0,48.0
Antonio,816.0,839.0,0.0,250.0,161.0,48.0,206.0,816.0,871.0,180.0,404.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,871.0,120.0,48.0,48.0
Ariel,250.0,250.0,250.0,0.0,117.0,236.0,298.0,250.0,250.0,440.0,668.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,250.0,117.0,236.0,236.0
Boatswain,120.0,140.0,161.0,117.0,0.0,48.0,140.0,120.0,161.0,120.0,120.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,124.0,48.0,48.0
Caliban,48.0,48.0,48.0,236.0,48.0,0.0,48.0,48.0,48.0,115.0,182.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,433.0,458.0
Ferdinand,180.0,206.0,206.0,298.0,140.0,48.0,0.0,180.0,206.0,617.0,617.0,26.0,0.0,75.0,92.0,45.0,9.0,4.0,206.0,120.0,48.0,48.0
Francisco,823.0,813.0,816.0,250.0,120.0,48.0,180.0,0.0,823.0,180.0,404.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,816.0,120.0,48.0,48.0
Gonzalo,823.0,839.0,871.0,250.0,161.0,48.0,206.0,823.0,0.0,180.0,404.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,871.0,120.0,48.0,48.0
Miranda,180.0,180.0,180.0,440.0,120.0,115.0,617.0,180.0,180.0,0.0,1068.0,0.0,0.0,75.0,92.0,45.0,9.0,4.0,180.0,120.0,48.0,48.0
Prospero,404.0,404.0,404.0,668.0,120.0,182.0,617.0,404.0,404.0,1068.0,0.0,0.0,29.0,75.0,92.0,45.0,9.0,4.0,404.0,120.0,115.0,115.0
SAILORS,0.0,26.0,40.0,0.0,42.0,0.0,26.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
SPIRITS,26.0,26.0,26.0,3.0,0.0,3.0,0.0,26.0,26.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,3.0,3.0
SPIRITS.Ceres,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,75.0,45.0,9.0,4.0,0.0,0.0,0.0,0.0
SPIRITS.Iris,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,92.0,92.0,0.0,0.0,75.0,0.0,45.0,9.0,4.0,0.0,0.0,0.0,0.0
SPIRITS.Juno,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0
SPIRITS.NYMPHS,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
SPIRITS.REAPERS,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
Sebastian,816.0,839.0,871.0,250.0,161.0,48.0,206.0,816.0,871.0,180.0,404.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,48.0,48.0
Shipmaster,120.0,120.0,120.0,117.0,124.0,48.0,120.0,120.0,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,48.0,48.0
Stephano,48.0,48.0,48.0,236.0,48.0,433.0,48.0,48.0,48.0,48.0,115.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,433.0
Trinculo,48.0,48.0,48.0,236.0,48.0,458.0,48.0,48.0,48.0,48.0,115.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,433.0,0.0
